127,SUPERMERCADO ,SUPERMERCADO SAN ALEJO,CLL 5 No 4E-41 DOÑA EVA,
259,SUPERMERCADO ,CONFILANDIÁS,CALLE19#12-83,
276,SUPERMERCADO ,FRUTAS LA VIÑA,KRA 15 No 13A-48,
128,SUPERMERCADO ,FRUTAS Y VERDURAS MARIA VALENTINA,KRA 4E No 4F-13 DOÑA EVA,
201,SUPERMERCADO ,MERKA´DOS,CARRERA 16A # 35B-05,
129,SUPERMERCADO ,AUTOSERVICIO VILLA MARIA,CLL 5 No 4C-81 DOÑA EVA,
130,SUPERMERCADO ,SIN NOMBRE,CLL 5 No 4C-69 DOÑA EVA,
32,ALMACENES,ÉXITO,CARRERA 11#17 69,CENTRO
165,SUPERMERCADO ,ALMACENES ÉXITO,KRA 11 No 18-28,
251,SUPERMERCADO ,DOÑA VIKY,AVENIDA NORTE # 60-16,
